GHCN ID,Station Name,State,County,Latitude,Longitude,13/03/2017,14/03/2017,15/03/2017,16/03/2017
USC00369270,WARFORDSBURG 2W,PA,FULTON,-78.24,39.77,0.0,8.0,3.0,0.0
USC00369298,WARREN,PA,WARREN,-79.15,41.85,0.0,0.6,3.0,5.3
USC00369367,WAYNESBURG 1 E,PA,GREENE,-80.17,39.9,0.0,0.0,0.3,0.1
USC00369408,WELLSBORO 4 SW,PA,TIOGA,-77.39,41.7,0.0,2.8,4.3,0.4
US1PABR0009,WERNERSVILLE 0.5 ESE,PA,BERKS,-76.07,40.33,0.0,0.0,0.0,0.0
US1PACH0021,WEST CHESTER 1.8 SE,PA,CHESTER,-75.58,39.94,0.0,4.0,1.9,0.0
USC00369464,WEST CHESTER 2 NW,PA,CHESTER,-75.64,39.97,0.0,5.0,0.0,0.0
US1PACH0009,WEST CHESTER 2.4 SSE,PA,CHESTER,-75.6,39.93,0.0,4.5,0.5,0.0
US1PACH0023,WEST GROVE 2.6 W,PA,CHESTER,-75.88,39.82,0.0,0.0,5.5,0.0
US1PALZ0006,WEST HAZLETON 3.2 NNE,PA,LUZERNE,-76.0,41.02,0.5,19.5,0.7,0.0
US1PALZ0023,WHITE HAVEN 1.5 NW,PA,LUZERNE,-75.8,41.07,0.0,0.0,0.0,0.0
US1PALZ0022,WILKES-BARRE 5.2 SE,PA,LUZERNE,-75.81,41.19,0.0,13.5,19.0,3.0
USW00014777,WILKES-BARRE SCRANTON INTL AP,PA,LUZERNE,-75.73,41.33,0.3,22.1,1.5,0.0
USC00369714,WILLIAMSBURG,PA,BLAIR,-78.2,40.47,0.0,7.0,0.0,0.0
US1PALY0002,WILLIAMSPORT 2.0 NE,PA,LYCOMING,-77.01,41.26,0.0,14.8,2.5,0.0
USW00014778,WILLIAMSPORT REGIONAL AP,PA,LYCOMING,-76.92,41.24,0.0,18.3,0.1,0.0
USC00369823,WOLFSBURG,PA,BEDFORD,-78.53,40.04,0.0,9.2,1.8,0.4
US1PABF0005,WYALUSING 2.8 SSW,PA,BRADFORD,-76.27,41.63,0.0,7.0,26.0,7.0
US1PAMT0089,WYNCOTE 0.3 ENE,PA,MONTGOMERY,-75.14,40.09,0.0,6.0,0.0,0.0
US1PAPH0006,WYNDMOOR 3.0 SSW,PA,PHILADELPHIA,-75.22,40.05,0.0,0.0,0.0,0.0
USC00369900,WYOMING COUNTY EOC,PA,WYOMING,-75.93,41.54,0.0,10.0,12.0,0.0
US1PABR0014,WYOMISSING 0.3 SW,PA,BERKS,-75.97,40.33,0.0,0.0,0.0,0.0
US1PAYR0017,YORK 2.5 NNW,PA,YORK,-76.75,40.0,0.0,7.0,4.0,0.0
USC00369950,YORK HAVEN,PA,YORK,-76.71,40.11,0.0,8.0,7.0,0.2
US1PAAD0003,YORK SPRINGS 0.7 SE,PA,ADAMS,-77.11,40.0,0.0,11.5,4.6,0.0
USC00371874,COVENTRY,RI,KENT,-71.59,41.7,0.0,0.0,0.0,0.0
USC00371875,COVENTRY 2,RI,KENT,-71.56,41.67,0.0,0.0,7.0,0.0
US1RIPR0017,CRANSTON 4.1 E,RI,PROVIDENCE,-71.4,41.78,0.0,0.5,7.0,0.0
US1RIKN0002,EAST GREENWICH 2.3 ESE,RI,KENT,-71.42,41.66,0.0,0.5,4.5,0.0
US1RIPR0033,GREENVILLE 0.7 NNW,RI,PROVIDENCE,-71.56,41.89,0.0,1.0,8.3,0.0
US1RIWS0001,HOPE VALLEY 3.7 S,RI,WASHINGTON,-71.72,41.46,0.0,0.0,0.0,0.0
USC00374266,KINGSTON,RI,WASHINGTON,-71.54,41.49,0.0,0.0,0.0,0.0
US1RINW0007,LITTLE COMPTON 0.6 E,RI,NEWPORT,-71.16,41.51,0.0,0.0,0.0,0.0
US1RINW0005,LITTLE COMPTON 1.7 NW,RI,NEWPORT,-71.19,41.53,0.0,0.0,0.0,0.0
US1RINW0004,MIDDLETOWN 1.1 SW,RI,NEWPORT,-71.3,41.53,0.0,0.0,4.0,0.0
USW00014765,PROVIDENCE,RI,KENT,-71.43,41.72,0.0,3.3,0.0,0.0
US1RIPR0032,PROVIDENCE 2.3 NE,RI,PROVIDENCE,-71.39,41.84,0.0,0.5,5.5,0.0
US1RIWS0025,ROCKVILLE 0.4 E,RI,WASHINGTON,-71.75,41.52,0.0,0.0,3.5,0.0
USC00377581,TIVERTON,RI,NEWPORT,-71.21,41.63,0.0,3.8,0.0,0.0
US1RINW0011,TIVERTON 0.8 SSW,RI,NEWPORT,-71.21,41.64,0.0,0.0,0.0,0.0
USC00379423,WOONSOCKET,RI,PROVIDENCE,-71.49,41.98,0.0,0.5,10.0,0.0
USC00440021,ABINGDON 3S,VA,WASHINGTON,-81.96,36.67,0.0,0.0,0.0,0.0
US1VAAB0006,AFTON 5.4 ESE,VA,ALBEMARLE,-78.74,38.01,0.0,0.0,0.0,0.0
USC00440079,ALBERTA 5N,VA,BRUNSWICK,-77.9,36.94,0.0,0.0,0.0,0.0
US1VAFX0063,ALEXANDRIA 5.6 SSW,VA,FAIRFAX,-77.09,38.73,0.0,2.3,0.0,0.0
USC00440243,APPOMATTOX,VA,APPOMATTOX,-78.83,37.33,0.0,0.0,0.0,0.0
US1VAAR0008,ARLINGTON 0.3 E,VA,ARLINGTON,-77.1,38.88,0.0,0.0,0.0,0.0
USC00440327,ASHLAND,VA,HANOVER,-77.48,37.75,0.0,0.1,0.0,0.0
USW00093775,ASHLAND HANOVER COUNTY MUNICIPAL,VA,HANOVER,-77.43,37.71,0.0,0.0,0.0,0.0
US1VAHV0006,BEAVERDAM 4.3 ESE,VA,HANOVER,-77.59,37.91,0.0,0.2,0.0,0.0
USC00440561,BEDFORD 4 NW,VA,BEDFORD,-79.56,37.38,0.0,0.0,0.0,0.0
US1VACK0002,BERRYVILLE 0.9 NNW,VA,CLARKE,-77.99,39.16,0.0,6.0,0.0,0.0
US1VAMN0006,BLACKSBURG 0.4 N,VA,MONTGOMERY,-80.43,37.24,0.0,1.0,0.0,0.0
US1VAMN0024,BLACKSBURG 1.3 ESE,VA,MONTGOMERY,-80.41,37.23,0.0,1.1,0.0,0.0
